author,coin,danmaku,favorite,id,like,rank_num,rank_tab,reply,score,share,tag_name,title,view
哔哩哔哩弹幕网,2832271,1271600,1961252,78976165,2714787,1,全站,117959,56086849,372464,"拜年祭,哔哩哔哩拜年祭,2020拜年祭",【哔哩哔哩2020拜年祭】,69659316
动漫唯美风,218257,12014,235148,85792473,284928,23,全站,5721,6320183,48936,"MAD.AMV,处处吻,论BGM的重要性,联合创作,治愈向,恋爱,MAD,多素材,综漫,动画",【处处吻】你的老婆可太撩了！世界都馋她一吻,4210163
歪果仁研究协会,968692,96101,186369,85549192,743275,22,全站,24531,6492867,29092,"抗击肺炎大作战,武汉加油,歪果仁,新型冠状病毒肺炎,口罩,武汉,疫情",从以色列找到10万只口罩直接送到湖北，湖北加油！,3421786
思齐家厨,536935,43207,188493,84446348,648605,21,全站,7242,6520997,16567,"正能量,中国军人,全能打卡挑战,感人,医生,家人",他师傅第一次骗他，也是最后一次骗他,5913905
柠檬派奇幻漂流,300789,154486,85281,85021933,279467,100,全站,2978,3149077,10442,"抗击肺炎,武汉捐赠,人类迷惑行为,柠檬派,武汉,沙雕新闻",【2019迷惑新闻】没有我做不到，只有你想不到,1848208
枪弹轨迹,79864,13571,98748,87646992,248028,99,全站,14162,3186663,181673,"电音,鬼畜,老公你快说句话呀,枪弹轨迹,出轨,鬼畜调教,老公,蜜汁带感,洗脑循环,鬼畜素材,搞笑",老公你快说句话呀,4785293
芒果和大福,67551,2398,24772,86393625,63715,100,动画,1676,1178696,5522,"鬼灭之刃,bilibili新星计划,动态漫画,有声漫画,炎柱,上弦三,鬼灭之刃第二季,无限列车剧场版,燃,鬼灭之刃剧场版",【鬼灭之刃/耗时126小时！】炎柱VS上弦三 剧场版 激斗无限列车！动态漫画内附配音,756499
ZALSTGAMING,738865,11998,310087,70395699,513860,99,动画,6500,1181883,32829,"手书,绘画,JOJO的奇妙冒险,特效,黄金之风,绘画过程,乔鲁诺",耗时半年!2500张板绘完成[黄金之风]特效动画,3284863
头疼不已唉,14723,16446,30866,12358014,19459,100,国创相关,1414,170563,2025,"吴磊,中国男CV都是怪物,国语配音演员,中配,黄莺,lol,李逍遥,lol配音,恐怖的进度条",以后谁说国配垃圾就把这个视频丢给他,1343538
不存在的魔鬼大A,8912,1742,9344,81484374,17443,99,国创相关,264,173627,4573,"斗破苍穹,国产,魔道祖师,斗罗大陆,国漫良心,年终总结,最强国漫",2019年跨年盘点最强国漫TOP50！能打的都在这里，没上榜的都说自己质量过硬,158327
